time_s,manifest_id,frequency_Hz_DG1,frequency_Hz_DG2,frequency_Hz_DG3,frequency_Hz_DG4,frequency_error_Hz_DG1,frequency_error_Hz_DG2,frequency_error_Hz_DG3,frequency_error_Hz_DG4,ppc_boundary_Hz_DG1,ppc_boundary_Hz_DG2,ppc_boundary_Hz_DG3,ppc_boundary_Hz_DG4
11.63,f27c2278f5bdb77b,50.0021092675106,50.0023139384304,50.0012833265939,50.0014381493952,0.0021092675106118,0.00231393843035477,0.00128332659387809,0.00143814939520581,0.02,0.02,0.02,0.02
11.635,f27c2278f5bdb77b,50.0021131881475,50.0023188099075,50.0012864864663,50.001441749123,0.00211318814752559,0.00231880990745736,0.00128648646634844,0.0014417491229608,0.02,0.02,0.02,0.02
11.64,f27c2278f5bdb77b,50.002117097606,50.0023236681306,50.0012896371064,50.0014453386722,0.00211709760601764,0.00232366813057894,0.00128963710639596,0.0014453386721911,0.02,0.02,0.02,0.02
11.645,f27c2278f5bdb77b,50.0021209958614,50.0023285130687,50.0012927784939,50.0014489180198,0.00212099586143921,0.00232851306867587,0.00129277849388387,0.00144891801981117,0.02,0.02,0.02,0.02
11.65,f27c2278f5bdb77b,50.0021248828892,50.0023333446908,50.0012959106087,50.0014524871428,0.00212488288921975,0.00233334469076851,0.00129591060873935,0.00145248714278523,0.02,0.02,0.02,0.02
11.655,f27c2278f5bdb77b,50.0021287586648,50.0023381629659,50.0012990334309,50.0014560460182,0.00212875866480289,0.00233816296594114,0.00129903343093218,0.00145604601816274,0.02,0.02,0.02,0.02
11.66,f27c2278f5bdb77b,50.0021326231637,50.0023429678633,50.0013021469405,50.0014595946231,0.0021326231636607,0.00234296786329935,0.00130214694050323,0.00145959462307133,0.02,0.02,0.02,0.02
11.665,f27c2278f5bdb77b,50.0021364763613,50.002347759352,50.0013052511176,50.0014631329347,0.00213647636126524,0.00234775935199849,0.00130525111757862,0.0014631329347381,0.02,0.02,0.02,0.02
11.67,f27c2278f5bdb77b,50.0021403182331,50.0023525374012,50.0013083459423,50.0014666609305,0.00214031823308147,0.00235253740122232,0.00130834594234841,0.00146666093049674,0.02,0.02,0.02,0.02
11.675,f27c2278f5bdb77b,50.0021441487546,50.0023573019802,50.0013114313951,50.0014701785878,0.00214414875455304,0.00235730198017592,0.00131143139508083,0.00147017858778042,0.02,0.02,0.02,0.02
11.68,f27c2278f5bdb77b,50.0021479679011,50.0023620530581,50.0013145074562,50.0014736858842,0.00214796790108807,0.00236205305809989,0.00131450745615069,0.00147368588417862,0.02,0.02,0.02,0.02
11.685,f27c2278f5bdb77b,50.0021517756481,50.0023667906042,50.001317574106,50.0014771827974,0.00215177564806623,0.00236679060423484,0.00131757410599675,0.00147718279737319,0.02,0.02,0.02,0.02
11.69,f27c2278f5bdb77b,50.0021555719708,50.0023715145879,50.0013206313252,50.0014806693052,0.00215557197080329,0.00237151458785689,0.00132063132515725,0.00148066930521651,0.02,0.02,0.02,0.02
11.695,f27c2278f5bdb77b,50.0021593568446,50.0023762249783,50.0013236790943,50.0014841453857,0.00215935684459367,0.0023762249782564,0.00132367909426279,0.00148414538566755,0.02,0.02,0.02,0.02
11.7,f27c2278f5bdb77b,50.0021631302447,50.0023809217447,50.001326717394,50.0014876110168,0.00216313024466075,0.00238092174473792,0.00132671739402923,0.00148761101684158,0.02,0.02,0.02,0.02
11.705,f27c2278f5bdb77b,50.0021668921462,50.0023856048566,50.0013297462053,50.001491066177,0.00216689214619947,0.0023856048566202,0.00132974620526483,0.00149106617696759,0.02,0.02,0.02,0.02
11.71,f27c2278f5bdb77b,50.0021706425244,50.0023902742833,50.0013327655089,50.0014945108444,0.00217064252436217,0.00239027428325755,0.00133276550887018,0.00149451084442376,0.02,0.02,0.02,0.02
11.715,f27c2278f5bdb77b,50.0021743813543,50.002394929994,50.0013357752858,50.0014979449977,0.00217438135426562,0.00239492999401136,0.00133577528582407,0.00149794499770195,0.02,0.02,0.02,0.02
11.72,f27c2278f5bdb77b,50.002178108611,50.0023995719583,50.0013387755172,50.0015013686154,0.00217810861101242,0.00239957195828566,0.00133877551719053,0.00150136861542194,0.02,0.02,0.02,0.02
11.725,f27c2278f5bdb77b,50.0021818242697,50.0024042001455,50.0013417661841,50.0015047816763,0.00218182426970515,0.00240420014552001,0.00134176618410464,0.00150478167629586,0.02,0.02,0.02,0.02
11.73,f27c2278f5bdb77b,50.0021855283054,50.0024088145252,50.0013447472678,50.0015081841591,0.00218552830543217,0.00240881452518948,0.00134474726777967,0.00150818415914955,0.02,0.02,0.02,0.02
11.735,f27c2278f5bdb77b,50.0021892206933,50.0024134150668,50.0013477187495,50.0015115760429,0.0021892206933245,0.00241341506682602,0.0013477187494928,0.00151157604287988,0.02,0.02,0.02,0.02
11.74,f27c2278f5bdb77b,50.0021929014085,50.00241800174,50.0013506806106,50.0015149573065,0.00219290140854156,0.00241800174001838,0.00135068061059229,0.00151495730647611,0.02,0.02,0.02,0.02
11.745,f27c2278f5bdb77b,50.0021965704263,50.0024225745144,50.0013536328325,50.001518327929,0.00219657042630672,0.00242257451439798,0.00135363283246193,0.001518327928963,0.02,0.02,0.02,0.02
11.75,f27c2278f5bdb77b,50.0022002277219,50.0024271333597,50.0013565753965,50.0015216878894,0.00220022772190021,0.00242713335969569,0.00135657539654943,0.00152168788944351,0.02,0.02,0.02,0.02
11.755,f27c2278f5bdb77b,50.0022038732707,50.0024316782457,50.0013595082843,50.001525037167,0.00220387327072302,0.00243167824570634,0.00135950828434517,0.00152503716702768,0.02,0.02,0.02,0.02
11.76,f27c2278f5bdb77b,50.0022075070483,50.0024362091423,50.0013624314774,50.0015283757409,0.00220750704826145,0.00243620914230291,0.00136243147737503,0.00152837574087528,0.02,0.02,0.02,0.02
11.765,f27c2278f5bdb77b,50.0022111290301,50.0024407260195,50.0013653449572,50.0015317035901,0.00221112903012255,0.00244072601947209,0.00136534495719332,0.00153170359013899,0.02,0.02,0.02,0.02
11.77,f27c2278f5bdb77b,50.0022147391921,50.0024452288473,50.0013682487054,50.001535020694,0.00221473919206261,0.00244522884727871,0.00136824870538987,0.0015350206939857,0.02,0.02,0.02,0.02
11.775,f27c2278f5bdb77b,50.00221833751,50.0024497175959,50.0013711427036,50.0015383270316,0.00221833750998712,0.00244971759590129,0.00137114270356875,0.00153832703156809,0.02,0.02,0.02,0.02
11.78,f27c2278f5bdb77b,50.00222192396,50.0024541922356,50.0013740269334,50.001541622582,0.00222192395995791,0.00245419223561782,0.00137402693336952,0.00154162258202462,0.02,0.02,0.02,0.02
11.785,f27c2278f5bdb77b,50.0022254985182,50.0024586527368,50.0013769013764,50.0015449073245,0.0022254985182002,0.00245865273683421,0.00137690137643176,0.00154490732447954,0.02,0.02,0.02,0.02
11.79,f27c2278f5bdb77b,50.0022290611611,50.00246309907,50.0013797660144,50.001548181238,0.00222906116110977,0.00246309907004161,0.00137976601443057,0.0015481812380358,0.02,0.02,0.02,0.02
11.795,f27c2278f5bdb77b,50.0022326118653,50.0024675312059,50.001382620829,50.0015514443018,0.00223261186526713,0.00246753120585907,0.00138262082904106,0.0015514443017679,0.02,0.02,0.02,0.02
11.8,f27c2278f5bdb77b,50.0022361506074,50.002471949115,50.001385465802,50.0015546964947,0.00223615060740912,0.00247194911503357,0.00138546580198096,0.00155469649473616,0.02,0.02,0.02,0.02
11.805,f27c2278f5bdb77b,50.0022396773645,50.0024763527684,50.001388300915,50.001557937796,0.00223967736445729,0.00247635276840441,0.00138830091495379,0.00155793779597246,0.02,0.02,0.02,0.02
11.81,f27c2278f5bdb77b,50.0022431921135,50.0024807421369,50.0013911261497,50.0015611681845,0.00224319211348956,0.00248074213691751,0.00139112614971992,0.00156116818449448,0.02,0.02,0.02,0.02
11.815,f27c2278f5bdb77b,50.0022466948317,50.0024851171916,50.001393941488,50.0015643876393,0.00224669483174011,0.00248511719163957,0.00139394148802552,0.00156438763931988,0.02,0.02,0.02,0.02
11.82,f27c2278f5bdb77b,50.0022501854966,50.0024894779037,50.0013967469117,50.0015675961395,0.00225018549657818,0.00248947790372256,0.00139674691168779,0.00156759613945923,0.02,0.02,0.02,0.02
11.825,f27c2278f5bdb77b,50.0022536640855,50.0024938242444,50.0013995424025,50.0015707936639,0.00225366408551508,0.00249382424443212,0.00139954240252393,0.00157079366393731,0.02,0.02,0.02,0.02
