time_s,V1,V2,V3,V4,Vdot1,Vdot2,Vdot3,Vdot4,omega1,omega2,omega3,omega4,delta1,delta2,delta3,delta4,pV1,pV2,pV3,pV4,qV1,qV2,qV3,qV4,pW1,pW2,pW3,pW4,qW1,qW2,qW3,qW4
14.045,1.0000000596428,1.00000007061745,1.00000008899073,1.00000008663079,-3.5767017367104e-06,-4.34857130650029e-06,-3.23097463633347e-06,-4.00287539454585e-06,4.8000661430151e-05,5.46300558177967e-05,3.01262118194694e-05,3.45113333101672e-05,0.00730952287261927,0.00410794743550483,-0.00137252634793198,-0.00564533373837141,-0.000987436305335058,-0.000986412720486653,-0.000983876499875923,-0.000980905029058547,-0.000987436305335058,-0.000986412720486653,-0.000983876499875923,-0.000980905029058547,-0.000517461799028661,-0.000234168478050482,0.000190542090419823,0.00039457561785109,-0.000517461799028661,-0.000234168478050482,0.000190542090419823,0.00039457561785109
14.05,1.00000004019368,1.00000004738347,1.00000007131802,1.00000006504342,-4.18725293412111e-06,-4.92585583887286e-06,-3.82372869731192e-06,-4.61431884949448e-06,4.79420912840408e-05,5.45608560444747e-05,3.00785825175179e-05,3.44594161909454e-05,0.00730976272961282,0.00410822041292289,-0.00137237583585626,-0.00564516131139611,-0.00099076108359356,-0.000990562216723628,-0.000986841815932655,-0.000984668466165473,-0.00099076108359356,-0.000990562216723628,-0.000986841815932655,-0.000984668466165473,-0.000517455423143671,-0.000234186369505721,0.000190559533236348,0.000394573981343406,-0.000517455423143671,-0.000234186369505721,0.000190559533236348,0.000394573981343406
14.055,1.00000001793987,1.00000002156251,1.00000005090956,1.00000004067783,-4.69612949352928e-06,-5.38107131149705e-06,-4.3228937549974e-06,-5.11171910525825e-06,4.78832531067165e-05,5.44913243372788e-05,3.00307376776486e-05,3.44072555478753e-05,0.0073100022930854,0.00410849304351205,-0.00137222556246603,-0.00564498914461537,-0.000994762373635286,-0.000995368735585779,-0.000990459129326819,-0.000989118260780091,-0.000994762373635286,-0.000995368735585779,-0.000990459129326819,-0.000989118260780091,-0.000517449054510824,-0.000234204232320875,0.000190576961100376,0.000394572346276694,-0.000517449054510824,-0.000234204232320875,0.000190576961100376,0.000394572346276694
14.06,0.999999993424287,0.999999993796639,1.00000002826695,1.00000001413843,-5.08995950306271e-06,-5.70206908252373e-06,-4.71542674272155e-06,-5.48190272749909e-06,4.78241472878044e-05,5.44214611775e-05,2.99826776131997e-05,3.43548517291575e-05,0.00731024156169782,0.00410876532561384,-0.00137207552883819,-0.00564481723924593,-0.00099934405301608,-0.00100071398680407,-0.000994640576338867,-0.000994145203260554,-0.00099934405301608,-0.00100071398680407,-0.000994640576338867,-0.000994145203260554,-0.000517442693323567,-0.00023422206650976,0.000190594373945998,0.000394570712676805,-0.000517442693323567,-0.00023422206650976,0.000190594373945998,0.000394570712676805
14.065,0.999999967249674,0.999999964780304,1.00000000395047,0.999999986087636,-5.35825176422637e-06,-5.88009608633542e-06,-4.99094556933036e-06,-5.71489951458814e-06,4.77647742137831e-05,5.43512670467965e-05,2.99344026407163e-05,3.43022050883858e-05,0.00731048053411285,0.00410903725757221,-0.00137192573604808,-0.00564464559650278,-0.00100439482532692,-0.00100646539747202,-0.000999283623232017,-0.000999624885170064,-0.00100439482532692,-0.00100646539747202,-0.000999283623232017,-0.000999624885170064,-0.000517436339852651,-0.000234239872118778,0.000190611771735133,0.000394569080626818,-0.000517436339852651,-0.000234239872118778,0.000190611771735133,0.000394569080626818
14.07,0.999999940063405,0.999999935242705,0.999999978565099,0.999999957229114,-5.49367498588302e-06,-5.9100330864083e-06,-5.14200350816455e-06,-5.80421073105295e-06,4.77051342682956e-05,5.42807424273087e-05,2.98859130798144e-05,3.42493159843442e-05,0.00731071920899517,0.0041093088377335,-0.00137177618516943,-0.00564447421759915,-0.00100979100124396,-0.0010124794610164,-0.00100427361957813,-0.00100542082618136,-0.00100979100124396,-0.0010124794610164,-0.00100427361957813,-0.00100542082618136,-0.00051742999444226,-0.000234257649225437,0.000190629154455887,0.000394567450264659,-0.00051742999444226,-0.000234257649225437,0.000190629154455887,0.000394567450264659
14.075,0.999999912541187,0.999999905929236,0.999999952745241,0.999999928289959,-5.49225650775393e-06,-5.79053966078775e-06,-5.16428905521802e-06,-5.74698854921435e-06,4.7645227832578e-05,5.420988780182e-05,2.98372092530016e-05,3.4196184780709e-05,0.00731095758501138,0.00410958006444647,-0.00137162687727439,-0.00564430310374644,-0.00101539960162234,-0.00101860537374804,-0.00100948666478667,-0.00101138791676984,-0.00101539960162234,-0.00101860537374804,-0.00100948666478667,-0.00101138791676984,-0.000517423657504298,-0.000234275397936174,0.000190646522120205,0.000394565821779278,-0.000517423657504298,-0.000234275397936174,0.000190646522120205,0.000394565821779278
14.08,0.999999885369937,0.999999877582424,0.999999927138771,0.999999900002175,-5.35349671908023e-06,-5.5241033341819e-06,-5.05674738013219e-06,-5.54412332477222e-06,4.75850552860023e-05,5.41387036539664e-05,2.97882914854592e-05,3.41428118456681e-05,0.00731119566082998,0.00410985093606231,-0.00137147781343347,-0.00564413225615423,-0.00102108171186,-0.00102468887600086,-0.00101479272265925,-0.0010173760981115,-0.00102108171186,-0.00102468887600086,-0.00101479272265925,-0.0010173760981115,-0.000517417329510891,-0.000234293118383385,0.000190663874760927,0.000394564195405527,-0.000517417329510891,-0.000234293118383385,0.000190663874760927,0.000394564195405527
14.085,0.999999859230314,0.999999850922866,0.999999902390593,0.999999873083966,-5.08039519290631e-06,-5.11699050207139e-06,-4.82161928579011e-06,-5.20023536094533e-06,4.75246170067162e-05,5.40671904684883e-05,2.97391601047911e-05,3.40891975514658e-05,0.00731143343512135,0.00411012145093461,-0.00137132899471556,-0.00564396167603025,-0.00102669599992972,-0.00103057619601615,-0.00102005890286151,-0.00102323418229429,-0.00102669599992972,-0.00103057619601615,-0.00102005890286151,-0.00102323418229429,-0.000517411010985332,-0.000234310810721811,0.000190681212428293,0.000394562571417841,-0.000517411010985332,-0.000234310810721811,0.000190681212428293,0.000394562571417841
14.09,0.999999834779344,0.99999982663067,0.999999879126243,0.999999848221306,-4.67938786113352e-06,-4.57910036758472e-06,-4.46439669547757e-06,-4.72357134527951e-06,4.74639133723651e-05,5.39953487315173e-05,2.96898154407468e-05,3.40353422738837e-05,0.00731167090655778,0.00411039160741941,-0.0013711804221879,-0.00564379136458036,-0.00103210230954197,-0.00103611799669566,-0.00102515282704083,-0.00102881371637068,-0.00103210230954197,-0.00103611799669566,-0.00102515282704083,-0.00102881371637068,-0.00051740470249167,-0.000234328475124336,0.000190698535185994,0.000394560950122887,-0.00051740470249167,-0.000234328475124336,0.000190698535185994,0.000394560950122887
