time_s,V1,V2,V3,Vdot1,Vdot2,Vdot3,omega1,omega2,omega3,delta1,delta2,delta3,pV1,pV2,pV3,qV1,qV2,qV3,pW1,pW2,pW3,qW1,qW2,qW3
0.44,0.945911921051712,1.04947985295597,0.969537144533042,0.00204962153551786,-0.0204845817264425,-0.00909576266534497,0.000800219832626165,0.00199067731892076,-0.000371330107698835,0.0216609858263622,-0.0102281812261173,0.000406348714664067,-0.0639079902408923,0.0424641298228691,-0.0148228338886614,-0.0742306820702912,0.0510663730140349,-0.0217046284415941,-0.00128802843399962,0.00229760980183094,0.00115239155799964,-0.00816982298693226,0.00745895571653042,-0.00228850571846668
0.445,0.945945855432248,1.04935652646676,0.969502498065541,0.0115421014516591,-0.0288544717660345,-0.00475817697087615,0.00077711696446171,0.00200264652247854,-0.000377190017367273,0.0216649288314251,-0.0102181975377267,0.00040447723935564,-0.070910698901645,0.0480795055867762,-0.0176766269280347,-0.0810289877377765,0.0565114129502191,-0.0244221528187891,-0.00136414281081379,0.00237320077962525,0.00111063173338216,-0.00810966870156815,0.00743234519769101,-0.00226213121199501
0.45,0.946027514466982,1.04919123063258,0.969489606681564,0.0211379998085043,-0.0372709131244322,-0.000394242365254236,0.00075481260497442,0.00201371677865366,-0.000382635053796006,0.0216687583268314,-0.0102081562591205,0.000402577505932995,-0.0778984700148488,0.0536697693987198,-0.0205277743600081,-0.0878164033081596,0.0619347138098122,-0.027139729888882,-0.0014389259871427,0.00244777882792824,0.00106953079311253,-0.0080508815160166,0.00740674547458367,-0.00223644697132442
0.455,0.946157392448514,1.04898375409455,0.969498594378514,0.0308280872082312,-0.0457252874109058,0.00399293218908285,0.000733286771098869,0.00202390817051869,-0.000387675305528938,0.0216724782549947,-0.0101980618346965,0.00040065156344638,-0.0848570384746265,0.0592253918008375,-0.0233738489790484,-0.0945785835306749,0.0673266793475445,-0.029854879016414,-0.00151240399534284,0.00252136175455969,0.001029076528244,-0.00799343403270843,0.00738213428258388,-0.0022114384904388
0.46,0.946335935884737,1.04873392946261,0.969529569457555,0.0406024805566303,-0.0542086281681612,0.00840017718959929,0.000712519890313684,0.00203324046662193,-0.000392320637125079,0.0216760924594417,-0.0101879186092243,0.000398701411065807,-0.0917718454965944,0.0647368039698283,-0.0262123698053103,-0.101300891063025,0.0726776752751872,-0.0325650668495974,-0.00158460236428128,0.00259396703714796,0.000989256979552986,-0.00793729940856838,0.00735848982036328,-0.00218709154259056
0.465,0.946563540257908,1.04844163501219,0.969582624221683,0.0504506554265076,-0.0627116390246537,0.012824262963358,0.000692492794754842,0.0020417331231074,-0.00039658069515182,0.021679604686851,-0.0101777308294124,0.000396728999185945,-0.0986281618523939,0.0701944630880222,-0.0290408070092296,-0.107968519674489,0.0779780946064348,-0.0352677122239596,-0.00165554612848984,0.00266561182859791,0.000950060432150899,-0.00788245134321991,0.00733579073964546,-0.00216339217521414
0.47,0.946840546865699,1.04810679628016,0.969657834676537,0.060361466488249,-0.071224715757452,0.0172619003919405,0.000673186715667656,0.00204940528564983,-0.000400464914054091,0.0216830185890615,-0.0101675026454659,0.00039473623050135,-0.105411216347077,0.0755889176403003,-0.0318565872123604,-0.114566622692505,0.0832184229281571,-0.0379601914426458,-0.00172525983703064,0.00273631296236574,0.000911475410190294,-0.00782886406731608,0.00731401613507982,-0.00214032670495243
0.475,0.947167239784507,1.0477293875412,0.969755260235746,0.070323175962126,-0.0797379720633878,0.021709742001379,0.000654583278177217,0.00205627579121695,-0.000403982521899492,0.0216863377250554,-0.0101572381126338,0.000392724961052665,-0.112106326743748,0.0809108714845182,-0.0346570991324134,-0.121080443897121,0.0883893024456625,-0.0406398439013288,-0.00179376756208184,0.0028060869575462,0.000873490671664687,-0.00777651233099725,0.00729314553423275,-0.00211788171279301
0.48,0.947543842994626,1.04730943314653,0.969874943432647,0.080323489857376,-0.0882412687650745,0.0261643834240054,0.00063666449635401,0.0020623631696743,-0.000407142545999042,0.0216895655629147,-0.0101469411927486,0.000390697001244403,-0.118699030205458,0.0861512455739728,-0.0374396995355697,-0.127495447933293,0.0934815936805028,-0.0433039780207936,-0.00186109290725336,0.00287495002377898,0.000836095203301341,-0.00772537139247727,0.00727315888769692,-0.00209604403931062
0.485,0.947970517705253,1.04684700870876,0.970016909640253,0.0903496015755236,-0.0967242461132798,0.0306223652360386,0.000619412768548614,0.00206768564525065,-0.000409953818402807,0.0216927054817545,-0.0101366157557583,0.000388654116834938,-0.125175210308422,0.0913012362768902,-0.0402017194546685,-0.133797447295099,0.0984864337657876,-0.0459498774457864,-0.00192725901564386,0.00294291806598247,0.00079927821554661,-0.0076754170067618,0.00725403655932093,-0.00207480078001236
0.49,0.948447359914685,1.04634224211821,0.970181166801354,0.100388242277716,-0.10517635879018,0.0350801751715023,0.000602810872966804,0.00207226113788477,-0.000412424981269347,0.021695760773633,-0.0101262655812509,0.000386598029899332,-0.131521217785911,0.0963523693368483,-0.0429404706278896,-0.139972723041189,0.103395290382913,-0.0485748074647411,-0.00199228857765164,0.00301000668892429,0.000763029137643535,-0.00762662541450317,0.00723575931656293,-0.00205413928078223
0.495,0.948974398237731,1.04579531437855,0.970367705170616,0.110425737255536,-0.113586913170993,0.0395342507097241,0.000586841963454201,0.00207610726447639,-0.000414564492107695,0.0216987346454403,-0.0101158943599728,0.000384530419765637,-0.137723982383416,0.10129654864484,-0.04565325210916,-0.146008136622084,0.108200010510396,-0.0511760216016054,-0.00205620383855264,0.00307623120163922,0.00072733761280151,-0.00757897333099799,0.00721830832097323,-0.00203404713342116
0.5,0.949551592028123,1.04520646025126,0.970576497070548,0.120448067408492,-0.121945106365709,0.0439809820302691,0.000571489565457881,0.00207924134006632,-0.00041638062889041,0.0217016302207663,-0.0101055056953411,0.000382452923925304,-0.143771113530306,0.106126099142381,-0.0483373569987928,-0.151891230524517,0.112892863304224,-0.0537507683282669,-0.00211902660586033,0.00314160662170632,0.000692193493457912,-0.00753243793533438,0.00720166511881186,-0.00201451217127911
0.505,0.950178829819025,1.04457596870166,0.970807496663133,0.130440934824487,-0.130240066538954,0.0484167153257479,0.000556737572131073,0.00208168037897194,-0.000417881495036169,0.0217044505417491,-0.0100951031049499,0.000380367138918354,-0.149650987941861,0.1108338033389,-0.0509900792408642,-0.157610315846683,0.117466576592918,-0.0562962978440785,-0.00218077825648243,0.00320614767939753,0.000657586836631675,-0.00748699685969676,0.00718581163180827,-0.00199552246497549
0.51,0.950855928099455,1.04390418314109,0.971060639738904,0.140389831385809,-0.138460893994816,0.052837756459576,0.000542570240546412,0.00208344109590546,-0.000419075024260357,0.0217071985709038,-0.0100846900220714,0.000378274621193967,-0.15535282273441,0.115412931098292,-0.0536087204325986,-0.16315454538713,0.121914366642225,-0.0588098688677449,-0.00224147974369037,0.00326986882171121,0.000623507899368783,-0.00744262817883677,0.00717073014807101,-0.00197706631820442
0.515,0.951582630438987,1.04319150146292,0.971335843525124,0.150280109284384,-0.146596702514509,0.0572403749524783,0.000528972187983067,0.00208453990710256,-0.000419968985292199,0.0217098771929331,-0.0100742697971506,0.000376176887947148,-0.160866733138441,0.119857262521834,-0.0561905965905776,-0.168513971332144,0.126229961016587,-0.0612887553863797,-0.00230115160391736,0.00333278421630398,0.000589947134279703,-0.00739931039971946,0.00715640331315556,-0.00195913226362135
0.52,0.952358606967461,1.04243837587216,0.971633006514692,0.16009705232633,-0.154636660447463,0.0616208082784054,0.00051592838825349,0.00208499293148916,-0.000420570986457103,0.0217124892165188,-0.0100638456992952,0.000374075417932148,-0.166183774402723,0.12416110392078,-0.0587330448189282,-0.173679587134652,0.130407614530721,-0.0637302533068807,-0.00235981396340143,0.00339490775533494,0.000556895185168707,-0.00735702245135391,0.0071428141212993,-0.00194170905880753
0.525,0.953183454210907,1.04164531251136,0.971952008317251,0.169825946935364,-0.16257003107974,0.0659752664475691,0.000503424168036581,0.00208481599191324,-0.000420888480123115,0.0217150373760954,-0.0100534209177592,0.000371971652253306,-0.171295967970714,0.12831929702591,-0.0612334298257413,-0.178643353665907,0.13444211843857,-0.0661316869558697,-0.0024174865446893,0.00345625305923594,0.000524342882755048,-0.00731574367481767,0.00712994590683221,-0.00192478568230914
0.53,0.954056695279574,1.04081287088733,0.972292709533881,0.179452151824268,-0.170386211836161,0.0702999368515964,0.000491445203185518,0.00208402461646791,-0.000420928767010624,0.0217175243336056,-0.0100429985634196,0.000369866995134011,-0.176196312456345,0.132327221718238,-0.0636891502358165,-0.183398210167046,0.138328803143822,-0.0684904153762837,-0.00247418867301683,0.00351683348042161,0.000492281240485794,-0.0072754538134841,0.00711778233577206,-0.00190835132974784
0.535,0.954977780398991,1.03994166310562,0.972654951656609,0.18896116538867,-0.178074771912658,0.0745909893433354,0.000479977514980569,0.00208263403992991,-0.000420699000364808,0.021719952680236,-0.0100325816702468,0.000367762814664443,-0.180878780331764,0.136180792681252,-0.0660976446503373,-0.187938070913084,0.142063534832352,-0.0708038383712174,-0.00252993928258113,0.00357666210695235,0.000460701450440153,-0.00723613300346121,0.00710630739761241,-0.00189239540999988
0.54,0.955946087770528,1.03903235292157,0.973038556993851,0.198338689982768,-0.185625487981227,0.0788445815217047,0.000469007466299577,0.00208065920533621,-0.000420206189990626,0.0217223249381358,-0.0100221731967676,0.000365660443528814,-0.185338301552267,0.139876450468212,-0.0684563974072185,-0.192257808814564,0.145642706520126,-0.0730694022487498,-0.00258475692271887,0.00363575176616275,0.000429594879324883,-0.00719776176425018,0.00709550539731123,-0.00187690754144077
0.545,0.956960924744019,1.03808565461821,0.973443328622723,0.20757069235625,-0.193028377659768,0.0830568641901327,0.000458521757681584,0.00207811476571886,-0.000419457206150582,0.0217246435621139,-0.0100117760275192,0.000363561179712761,-0.189570735576744,0.143411147547073,-0.0707629439995261,-0.196353227415184,0.149063224079106,-0.0752846052251528,-0.00263865976400404,0.00369411502826727,0.000398953064560388,-0.00716032098963076,0.00708536094748731,-0.00186187754825297
0.55,0.958021529281698,1.03710233172304,0.97386905036901,0.216643459659982,-0.200273730491152,0.0872239869556561,0.000448507423262085,0.00207501508601586,-0.000418458783325865,0.021726910941318,-0.0100013929744947,0.000361466287191599,-0.193572833394072,0.146782329930794,-0.0730148761134925,-0.200221022895825,0.152322487848921,-0.0774470024479945,-0.00269166560427803,0.00375176420995411,0.000368767710456855,-0.00712379193878002,0.0070758589608306,-0.00184729545679414
0.555,0.959127071690115,1.03608319557652,0.97431548681541,0.22554365055922,-0.207352136228465,0.0913421039346018,0.00043895182656162,0.00207137424517296,-0.000417217523841891,0.0217291294008914,-0.00999102677857847,0.000359376996600111,-0.19734219124046,0.149987915023198,-0.0752098462521159,-0.203858737769971,0.155418370464457,-0.0795542106051227,-0.00274379187462305,0.00380871137797699,0.000339030684479763,-0.00708815622762992,0.00706698464273214,-0.00183315149202367
0.56,0.96027665659465,1.03502910376623,0.974782383338502,0.234258341122322,-0.214254510274965,0.0954073795300117,0.000429842656112752,0.00206720603844849,-0.000415739901359707,0.0217313012036095,-0.00998068011097045,0.00035729450588454,-0.200877197696852,0.153026266312366,-0.0773455719150674,-0.20726470795962,0.158349191531339,-0.081603912090246,-0.00279505564528933,0.00386496835275359,0.000309734013603854,-0.0070533958204679,0.00705872348413751,-0.00181943607398543
0.565,0.961469325129966,1.03394095844109,0.975269466174705,0.242775065275834,-0.220972116176599,0.0994159942455464,0.000421167920913826,0.00206252397993056,-0.000414032264235103,0.0217334285514937,-0.00997035557459817,0.000355219980937461,-0.20417697579911,0.155896165527195,-0.079419839310528,-0.210438004884408,0.161113689764944,-0.083593858700727,-0.0028454736315849,0.00392054671197823,0.000280869880754584,-0.00701949302178386,0.00705106125462745,-0.0018061398143449
0.57,0.962704057318918,1.03281970452073,0.97577644251533,0.251081849729986,-0.227496585110893,0.103364150500546,0.000412915945701254,0.00205734130527283,-0.000412100838747685,0.0217355135874014,-0.00996005570551606,0.000353154556216177,-0.207241321688241,0.158596782841456,-0.0814305065795446,-0.213378374091185,0.163710993177243,-0.0855218748481743,-0.00289506219973573,0.00397545779425527,0.00025243062133592,-0.0069864304683655,0.00704398399572759,-0.00179325351297896
0.575,0.963979774612266,1.03166632781487,0.976303000630626,0.259167243379598,-0.233819932357828,0.107248078411202,0.000405075366035327,0.00205167097465238,-0.000409951732202544,0.0217375583965929,-0.00994978297429025,0.000351099335345296,-0.210070641185499,0.16112764566631,-0.0833755065184476,-0.216086171808879,0.166140587852461,-0.0873858602673679,-0.00294383737272266,0.00402971270275813,0.000224408719843184,-0.00695419112164299,0.00703747801444838,-0.00178076815461698
