time_s,manifest_id,voltage_V_DG1,voltage_V_DG2,voltage_V_DG3,voltage_V_DG4,voltage_error_V_DG1,voltage_error_V_DG2,voltage_error_V_DG3,voltage_error_V_DG4,ppc_boundary_V_DG1,ppc_boundary_V_DG2,ppc_boundary_V_DG3,ppc_boundary_V_DG4
10.71,f27c2278f5bdb77b,310.000056444378,310.000044948034,310.00003274127,310.000037482449,5.64443778330315e-05,4.49480339170805e-05,3.2741269762937e-05,3.7482448647097e-05,9.3,9.3,9.3,9.3
10.715,f27c2278f5bdb77b,310.000054480905,310.00004292375,310.000030731406,310.000035469602,5.44809046232331e-05,4.29237499020019e-05,3.07314063547892e-05,3.54696017552669e-05,9.3,9.3,9.3,9.3
10.72,f27c2278f5bdb77b,310.000052349153,310.000040725512,310.000028559049,310.000033281985,5.23491532362641e-05,4.07255118943795e-05,2.85590494968346e-05,3.32819846562415e-05,9.3,9.3,9.3,9.3
10.725,f27c2278f5bdb77b,310.000050104493,310.000038409977,310.000026279885,310.000030975732,5.01044934253514e-05,3.84099771508772e-05,2.62798845369616e-05,3.09757315335446e-05,9.3,9.3,9.3,9.3
10.73,f27c2278f5bdb77b,310.000047805373,310.000036037011,310.000023952522,310.000028610216,4.78053725032623e-05,3.60370109433461e-05,2.3952522383297e-05,2.86102155655499e-05,9.3,9.3,9.3,9.3
10.735,f27c2278f5bdb77b,310.000045511834,310.000033668169,310.000021637013,310.000026246545,4.55118341733396e-05,3.36681694079743e-05,2.16370131056465e-05,2.62465447349314e-05,9.3,9.3,9.3,9.3
10.74,f27c2278f5bdb77b,310.000043283992,310.000031365134,310.000019393318,310.000023946008,4.32839915447403e-05,3.13651337364718e-05,1.93933175296479e-05,2.39460079569653e-05,9.3,9.3,9.3,9.3
10.745,f27c2278f5bdb77b,310.000041180492,310.000029188135,310.000017279775,310.000021768511,4.11804917916925e-05,2.91881348744027e-05,1.72797754203202e-05,2.17685106349563e-05,9.3,9.3,9.3,9.3
10.75,f27c2278f5bdb77b,310.000039257013,310.000027194409,310.000015351609,310.000019771039,3.92570133271875e-05,2.71944090286524e-05,1.53516090222183e-05,1.97710394331807e-05,9.3,9.3,9.3,9.3
10.755,f27c2278f5bdb77b,310.000037564832,310.000025436724,310.000013659502,310.000018006195,3.75648321551125e-05,2.54367237744191e-05,1.36595017465879e-05,1.80061951482458e-05,9.3,9.3,9.3,9.3
10.76,f27c2278f5bdb77b,310.000036149496,310.000023962012,310.000012248286,310.000016520833,3.61494961680364e-05,2.39620124489193e-05,1.22482862252582e-05,1.65208325029198e-05,9.3,9.3,9.3,9.3
10.765,f27c2278f5bdb77b,310.00003504964,310.000022810152,310.000011155778,310.000015354841,3.50496403029865e-05,2.28101518473522e-05,1.11557783952776e-05,1.53548410821713e-05,9.3,9.3,9.3,9.3
10.77,f27c2278f5bdb77b,310.000034295973,310.000022012916,310.000010411785,310.0000145401,3.42959733643511e-05,2.20129162471494e-05,1.04117848422902e-05,1.45400996416356e-05,9.3,9.3,9.3,9.3
10.775,f27c2278f5bdb77b,310.000033910464,310.000021593133,310.000010037313,310.000014099631,3.39104643103383e-05,2.15931332832042e-05,1.00373130749176e-05,1.4099630675446e-05,9.3,9.3,9.3,9.3
10.78,f27c2278f5bdb77b,310.000033905748,310.000021564066,310.000010044002,310.000014046978,3.39057481255622e-05,2.1564065889379e-05,1.00440017263281e-05,1.40469779807972e-05,9.3,9.3,9.3,9.3
10.785,f27c2278f5bdb77b,310.000034284767,310.000021929036,310.000010433789,310.000014385824,3.42847674801305e-05,2.19290357108548e-05,1.04337891571049e-05,1.43858241017369e-05,9.3,9.3,9.3,9.3
10.79,f27c2278f5bdb77b,310.000035040662,310.000022681299,310.000011198828,310.000015109858,3.50406615439169e-05,2.26812991286351e-05,1.11988284174913e-05,1.51098579408426e-05,9.3,9.3,9.3,9.3
10.795,f27c2278f5bdb77b,310.000036156903,310.00002380418,310.000012321651,310.000016202897,3.61569034907916e-05,2.38041800457722e-05,1.23216514111846e-05,1.62028967451988e-05,9.3,9.3,9.3,9.3
10.8,f27c2278f5bdb77b,310.000037607687,310.000025271457,310.00001377558,310.000017639262,3.76076867496522e-05,2.52714565931456e-05,1.37755797595673e-05,1.76392616708654e-05,9.3,9.3,9.3,9.3
10.805,f27c2278f5bdb77b,310.000039358548,310.000027047994,310.000015525372,310.000019384396,3.93585483493553e-05,2.70479937967139e-05,1.55253724756221e-05,1.93843959550577e-05,9.3,9.3,9.3,9.3
10.81,f27c2278f5bdb77b,310.000041367217,310.000029090606,310.000017528094,310.000021395714,4.13672166814649e-05,2.90906058921792e-05,1.75280941334677e-05,2.13957138726073e-05,9.3,9.3,9.3,9.3
10.815,f27c2278f5bdb77b,310.000043584661,310.000031349128,310.000019734184,310.000023623656,4.3584661341356e-05,3.13491278802758e-05,1.97341838656939e-05,2.36236563182501e-05,9.3,9.3,9.3,9.3
10.82,f27c2278f5bdb77b,310.00004595632,310.00003376767,310.000022088696,310.00002601293,4.59563198091928e-05,3.37676699473377e-05,2.20886963688827e-05,2.60129298794709e-05,9.3,9.3,9.3,9.3
10.825,f27c2278f5bdb77b,310.00004842347,310.000036286022,310.000024532686,310.000028503897,4.84234695932173e-05,3.62860224072392e-05,2.4532685529266e-05,2.8503896771781e-05,9.3,9.3,9.3,9.3
10.83,f27c2278f5bdb77b,310.000050924713,310.000038841177,310.000027004696,310.000031034081,5.09247126956325e-05,3.88411773997177e-05,2.700469553929e-05,3.10340806208842e-05,9.3,9.3,9.3,9.3
10.835,f27c2278f5bdb77b,310.000053397533,310.000041368927,310.000029442321,310.000033539752,5.33975328949055e-05,4.13689269294082e-05,2.94423207378713e-05,3.35397517687852e-05,9.3,9.3,9.3,9.3
10.84,f27c2278f5bdb77b,310.000055779888,310.000043805499,310.000031783797,310.00003595755,5.57798882141469e-05,4.38054993310288e-05,3.1783796828222e-05,3.59575495281206e-05,9.3,9.3,9.3,9.3
10.845,f27c2278f5bdb77b,310.000058011797,310.000046089189,310.00003396958,310.000038226102,5.80117970230276e-05,4.60891893112603e-05,3.39695801585549e-05,3.82261017648489e-05,9.3,9.3,9.3,9.3
10.85,f27c2278f5bdb77b,310.000060036878,310.000048161943,310.000035943877,310.0000402876,6.00368778691518e-05,4.81619434253844e-05,3.59438768100517e-05,4.02876004841346e-05,9.3,9.3,9.3,9.3
10.855,f27c2278f5bdb77b,310.000061803802,310.000049970857,310.000037656081,310.000042089292,6.18038021684697e-05,4.99708568213464e-05,3.76560813037941e-05,4.20892918668869e-05,9.3,9.3,9.3,9.3
10.86,f27c2278f5bdb77b,310.000063267625,310.000051469546,310.000039062088,310.000043584843,6.32676247960262e-05,5.14695457241032e-05,3.90620884900272e-05,4.35848430129226e-05,9.3,9.3,9.3,9.3
