time_s,manifest_id,voltage_pu_DG1,voltage_pu_DG2,voltage_pu_DG3,frequency_deviation_pu_DG1,frequency_deviation_pu_DG2,frequency_deviation_pu_DG3,voltage_tracking_error_pu_DG1,voltage_tracking_error_pu_DG2,voltage_tracking_error_pu_DG3,frequency_tracking_error_pu_DG1,frequency_tracking_error_pu_DG2,frequency_tracking_error_pu_DG3
0.07,9e81ce3e9621f78a,1.01394406694053,0.990626787704383,1.00674470655039,0.00691914030275236,-0.00331556499819939,0.00240314586959135,0.0139440669405271,-0.00937321229561727,0.00674470655039072,0.00691914030275236,-0.00331556499819939,0.00240314586959135
0.075,9e81ce3e9621f78a,1.0131342100738,0.991376563174382,1.00630910576068,0.0067362701115676,-0.00315321607353731,0.00231057280152356,0.0131342100737966,-0.00862343682561784,0.00630910576068233,0.0067362701115676,-0.00315321607353731,0.00231057280152356
0.08,9e81ce3e9621f78a,1.0122853642577,0.992161821805994,1.00585247824134,0.00655778498529788,-0.00299446123604066,0.00222050014901049,0.012285364257699,-0.00783817819400623,0.0058524782413365,0.00655778498529788,-0.00299446123604066,0.00222050014901049
0.085,9e81ce3e9621f78a,1.01139948823695,0.992980674872213,1.00537587144782,0.00638358765637129,-0.0028392426202038,0.0021328667803661,0.011399488236949,-0.0070193251277868,0.0053758714478167,0.00638358765637129,-0.0028392426202038,0.0021328667803661
0.09,9e81ce3e9621f78a,1.01047850699815,0.993831266334087,1.00488031485284,0.00621358306968311,-0.00268750309519122,0.00204761311116297,0.0104785069981503,-0.00616873366591253,0.00488031485284246,0.00621358306968311,-0.00268750309519122,0.00204761311116297
0.095,9e81ce3e9621f78a,1.00952431270969,0.994711772058971,1.00436682049215,0.00604767832811544,-0.00253918626123616,0.00196468106422947,0.0095243127096869,-0.00528822794102946,0.00436682049215276,0.00604767832811544,-0.00253918626123616,0.00196468106422947
0.1,9e81ce3e9621f78a,1.00853876557632,0.995620399102752,1.00383638347094,0.0058857826394867,-0.00239423644564344,0.00188401403063088,0.00853876557632116,-0.00437960089724843,0.00383638347094362,0.0058857826394867,-0.00239423644564344,0.00188401403063088
0.105,9e81ce3e9621f78a,1.00752369461643,0.9965553850505,1.00328998243339,0.00572780726488608,-0.00225259869842487,0.00180555683161206,0.00752369461642743,-0.0034446149495001,0.00328998243338718,0.00572780726488608,-0.00225259869842487,0.00180555683161206
0.11,9e81ce3e9621f78a,1.00648089836962,0.997514997410043,1.00272857999758,0.00557366546835052,-0.00211421878759468,0.00172925568147991,0.00648089836962384,-0.00248500258995654,0.00272857999757581,0.00557366546835052,-0.00211421878759468,0.00172925568147991
0.115,9e81ce3e9621f78a,1.00541214554233,0.99849753305311,1.00215312315818,0.00542327246784387,-0.00197904319415147,0.0016550581514047,0.0054121455423326,-0.00150246694689016,0.00215312315818106,0.00542327246784387,-0.00197904319415147,0.0016550581514047
0.12,9e81ce3e9621f78a,1.00431917559854,0.999501317698808,1.00156454365903,0.00527654538750023,-0.00184701910677195,0.0015829131341196,0.00431917559854345,-0.00049868230119221,0.00156454365903014,0.00527654538750023,-0.00184701910677195,0.0015829131341196
0.125,9e81ce3e9621f78a,1.00320369930275,1.00052470543441,1.00096375833774,0.00513340321109498,-0.00171809441624112,0.00151277080949857,0.00320369930275399,0.00052470543440597,0.00096375833774065,0.00513340321109498,-0.00171809441624112,0.00151277080949857
0.13,9e81ce3e9621f78a,1.00206739922174,1.00156607826857,1.00035166944446,0.00499376673670908,-0.00159221770964225,0.00144458261099331,0.00206739922173993,0.00156607826856714,0.000351669444460523,0.00499376673670908,-0.00159221770964225,0.00144458261099331
0.135,9e81ce3e9621f78a,1.00091193019147,1.00262384571242,0.999729164936679,0.00485755853255365,-0.00146933826432918,0.0013783011929102,0.000911930191468624,0.00262384571241991,-0.000270835063320596,0.00485755853255365,-0.00146933826432918,0.0013783011929102
0.14,9e81ce3e9621f78a,0.999738919755117,1.00369644438409,0.999097118751986,0.00472470289392318,-0.00134940604170249,0.001313880398509,-0.000261080244883249,0.00369644438408634,-0.000902881248013521,0.00472470289392318,-0.00134940604170249,0.001313880398509
0.145,9e81ce3e9621f78a,0.998549968577792,1.00478233763254,0.998456391060557,0.00459512580124739,-0.00123237168081012,0.00125127522890533,-0.00145003142220834,0.00478233763253555,-0.00154360893944305,0.00459512580124739,-0.00123237168081012,0.00125127522890533
0.15,9e81ce3e9621f78a,0.997346650843193,1.00588001517689,0.997807828499053,0.00446875487921243,-0.00111818649179196,0.00119044181275937,-0.00265334915680704,0.00588001517689429,-0.00219217150094675,0.00446875487921243,-0.00111818649179196,0.00119044181275937
0.155,9e81ce3e9621f78a,0.996130514637088,1.00698799275761,0.997152264387535,0.00434551935692391,-0.00100680244918728,0.00113133737673374,-0.00386948536291165,0.00698799275760753,-0.00284773561246532,0.00434551935692391,-0.00100680244918728,0.00113133737673374
0.16,9e81ce3e9621f78a,0.994903082322116,1.00810481179612,0.996490518930866,0.00422535002908447,-0.000898172185122489,0.0010739202167038,-0.00509691767788434,0.00810481179611977,-0.00350948106913418,0.00422535002908447,-0.000898172185122489,0.0010739202167038
0.165,9e81ce3e9621f78a,0.993665850908068,1.00922903906001,0.995823399406023,0.00410817921816039,-0.000792248982396268,0.00101814966970414,-0.00633414909193208,0.00922903906000827,-0.00417660059397729,0.00410817921816039,-0.000792248982396268,0.00101814966970414
0.17,9e81ce3e9621f78a,0.992420292421471,1.01035926633079,0.995151700336594,0.00399394073751177,-0.000688986767477797,0.000963986086595068,-0.00757970757852922,0.0103592663307877,-0.00484829966340616,0.00399394073751177,-0.000688986767477797,0.000963986086595068
0.175,9e81ce3e9621f78a,0.991167854277918,1.01149411007187,0.994476203655677,0.0038825698554622,-0.000588340103433152,0.000911390805433645,-0.00883214572208202,0.0114941100718697,-0.00552379634432265,0.0038825698554622,-0.000588340103433152,0.000911390805433645
0.18,9e81ce3e9621f78a,0.9899099596603,1.01263221109444,0.993797678858279,0.00377400326028426,-0.000490264182793963,0.000860326125533785,-0.0100900403397003,0.0126322110944372,-0.00620232114172103,0.00377400326028426,-0.000490264182793963,0.000860326125533785
0.185,9e81ce3e9621f78a,0.988648007905732,1.01377223421927,0.993116883144222,0.00366817902607786,-0.000394714820381547,0.000810755282200404,-0.0113519920942675,0.013772234219269,-0.00688311685577803,0.00366817902607786,-0.000394714820381547,0.000810755282200404
0.19,9e81ce3e9621f78a,0.987383374903684,1.01491286793281,0.992434561552483,0.00356503657951924,-0.000301648446098902,0.000762642422122867,-0.0126166250963163,0.0149128679328143,-0.00756543844751711,0.00356503657951924,-0.000301648446098902,0.000762642422122867
0.195,9e81ce3e9621f78a,0.986117413507472,1.0160528240361,0.991751447087778,0.00346451666745866,-0.000211022097702071,0.000715952579413213,-0.0138825864925282,0.0160528240360964,-0.00824855291222193,0.00346451666745866,-0.000211022097702071,0.000715952579413213
0.2,9e81ce3e9621f78a,0.984851453961026,1.01719083728529,0.991068260840135,0.00336656132534568,-0.000122793413561596,0.000670651652274928,-0.0151485460389743,0.017190837285286,-0.00893173915986523,0.00336656132534568,-0.000122793413561596,0.000670651652274928
0.205,9e81ce3e9621f78a,0.983586804342482,1.01832566502306,0.990385712098092,0.00327111384646124,-3.69206254239507e-05,0.00062670638028827,-0.0164131956575182,0.0183256650230625,-0.00961428790190844,0.00327111384646124,-3.69206254239507e-05,0.00062670638028827
0.21,9e81ce3e9621f78a,0.982324751025912,1.01945608680014,0.989704498456089,0.00317811875193609,4.66374488179201e-05,0.000584084322298376,-0.0176752489740877,0.0194560868001419,-0.0102955015439112,0.00317811875193609,4.66374488179201e-05,0.000584084322298376
0.215,9e81ce3e9621f78a,0.981066559162181,1.02058090398663,0.989025305916525,0.00308752176153588,0.000127921412336617,0.000542753834892622,-0.018933440837819,0.0205809039866278,-0.0109746940834751,0.00308752176153588,0.000127921412336617,0.000542753834892622
0.22,9e81ce3e9621f78a,0.979813473179636,1.02169893937311,0.988348808986875,0.00299926976519322,0.000206971296557222,0.000502684051453901,-0.0201865268203636,0.0216989393731128,-0.0116511910131247,0.00299926976519322,0.000206971296557222,0.000502684051453901
0.225,9e81ce3e9621f78a,0.978566717305059,1.02280903676173,0.987675670772189,0.00291331079526768,0.000283826568312264,0.000463844861776705,-0.0214332826949409,0.022809036761728,-0.0123243292278106,0.00291331079526768,0.000283826568312264,0.000463844861776705
