time_s,manifest_id,pV_nom_DG1,pV_nom_DG2,pV_nom_DG3,pV_alt_DG1,pV_alt_DG2,pV_alt_DG3,pW_nom_DG1,pW_nom_DG2,pW_nom_DG3,pW_alt_DG1,pW_alt_DG2,pW_alt_DG3
0.1,9e81ce3e9621f78a,0.20750905923181093,-0.18733223702227234,0.11584464598947039,0.20750905923181093,-0.18733223702227234,0.11584464598947039,0.009107922418385555,-0.006623472989968524,0.006544689475579535,0.009107922418385555,-0.006623472989968524,0.006544689475579535
0.105,9e81ce3e9621f78a,0.2062744682616795,-0.1863058461224246,0.11514137416848715,0.2062744682616795,-0.1863058461224246,0.11514137416848715,0.008839158377152639,-0.0064111744503142585,0.006408812676978937,0.008839158377152639,-0.0064111744503142585,0.006408812676978937
0.11,9e81ce3e9621f78a,0.20497859182632636,-0.18522732812976286,0.11440630723997826,0.20497859182632636,-0.18522732812976286,0.11440630723997826,0.008575508515464804,-0.006202359762453903,0.006275436117707531,0.008575508515464804,-0.006202359762453903,0.006275436117707531
0.115,9e81ce3e9621f78a,0.20362021594816077,-0.18409543894523692,0.11363854633599078,0.20362021594816077,-0.18409543894523692,0.11363854633599078,0.00831687125159042,-0.0059969651190288475,0.006144509945526357,0.00831687125159042,-0.0059969651190288475,0.006144509945526357
0.12,9e81ce3e9621f78a,0.20219825611603728,-0.18290903386430077,0.11283726291621743,0.20219825611603728,-0.18290903386430077,0.11283726291621743,0.00806314710037537,-0.005794927906019231,0.006015985318767418,0.00806314710037537,-0.005794927906019231,0.006015985318767418
0.125,9e81ce3e9621f78a,0.20071174161348046,-0.1816670559280826,0.11200169508037118,0.20071174161348046,-0.1816670559280826,0.11200169508037118,0.007814238625320514,-0.0055961866798033355,0.005889814386330561,0.007814238625320514,-0.0055961866798033355,0.005889814386330561
0.13,9e81ce3e9621f78a,0.19915980018355897,-0.18036852451691465,0.1111311439481235,0.19915980018355897,-0.18036852451691465,0.1111311439481235,0.007570050392081857,-0.005400681144738717,0.005765950268066593,0.007570050392081857,-0.005400681144738717,0.005765950268066593
0.135,9e81ce3e9621f78a,0.19754164309901173,-0.17901252424770914,0.1102249701241798,0.19754164309901173,-0.17901252424770914,0.1102249701241798,0.007330488923327656,-0.005208352131245635,0.005644347035537362,0.007330488923327656,-0.005208352131245635,0.005644347035537362
0.14,9e81ce3e9621f78a,0.1958565506926713,-0.17759819422805026,0.10928259026442877,0.1958565506926713,-0.17759819422805026,0.10928259026442877,0.007095462654890969,-0.005019141574374547,0.005524959693144064,0.007095462654890969,-0.005019141574374547,0.005524959693144064
0.145,9e81ce3e9621f78a,0.19410385839156627,-0.17612471771235785,0.10830347375752557,0.19410385839156627,-0.17612471771235785,0.10830347375752557,0.0068648818931601515,-0.004832992492840461,0.005407744159615559,0.0068648818931601515,-0.004832992492840461,0.005407744159615559
0.15,9e81ce3e9621f78a,0.19228294328827117,-0.1745913121990667,0.10728713953476385,0.19228294328827117,-0.1745913121990667,0.10728713953476385,0.006638658773653441,-0.0046498489685080115,0.0052926572498488735,0.006638658773653441,-0.0046498489685080115,0.0052926572498488735
0.155,9e81ce3e9621f78a,0.19039321127503145,-0.17299722000243908,0.10623315301967291,0.19039321127503145,-0.17299722000243908,0.10623315301967291,0.0064167072207272375,-0.004469656126312007,0.005179656657094487,0.0064167072207272375,-0.004469656126312007,0.005179656657094487
0.16,9e81ce3e9621f78a,0.18843408475982357,-0.17134169932833937,0.10514112322744538,0.18843408475982357,-0.17134169932833937,0.10514112322744538,0.006198942908370734,-0.004292360114599124,0.005068700935479373,0.006198942908370734,-0.004292360114599124,0.005068700935479373
0.165,9e81ce3e9621f78a,0.18640499097870136,-0.16962401587999987,0.10401070002306612,0.18640499097870136,-0.16962401587999987,0.10401070002306612,0.005985283222042588,-0.004117908085877238,0.004959749482861087,0.005985283222042588,-0.004117908085877238,0.004959749482861087
0.17,9e81ce3e9621f78a,0.18430535091541614,-0.16784343501742988,0.10284157154587092,0.18430535091541614,-0.16784343501742988,0.10284157154587092,0.005775647221507936,-0.003946248177959627,0.004852762524006493,0.005775647221507936,-0.003946248177959627,0.004852762524006493
0.17500000000000002,9e81ce3e9621f78a,0.1821345688372593,-0.16599921449259833,0.10163346180721498,0.1821345688372593,-0.16599921449259833,0.10163346180721498,0.00556995560463659,-0.0037773294954920192,0.00474770109408901,0.00556995560463659,-0.0037773294954920192,0.00474770109408901
0.18,9e81ce3e9621f78a,0.17989202245525635,-0.16409059778178392,0.10038612846697119,0.17989202245525635,-0.16409059778178392,0.10038612846697119,0.0053681306721255736,-0.003611102091851088,0.004644527022498506,0.0053681306721255736,-0.003611102091851088,0.004644527022498506
0.185,9e81ce3e9621f78a,0.17757705371713486,-0.16211680803646542,0.09909936079370163,0.17757705371713486,-0.16211680803646542,0.09909936079370163,0.005170096293111279,-0.003447516951403634,0.004543202916958164,0.005170096293111279,-0.003447516951403634,0.004543202916958164
0.19,9e81ce3e9621f78a,0.17518896024280564,-0.16007704267474604,0.09777297781254743,0.17518896024280564,-0.16007704267474604,0.09777297781254743,0.004975777871638529,-0.00328652597211624,0.004443692147942904,0.004975777871638529,-0.00328652597211624,0.004443692147942904
0.195,9e81ce3e9621f78a,0.17272698741435677,-0.15797046863650238,0.09640682664415258,0.17272698741435677,-0.15797046863650238,0.09640682664415258,0.004785102313955651,-0.0031280819485056976,0.004345958833394082,0.004785102313955651,-0.0031280819485056976,0.004345958833394082
0.2,9e81ce3e9621f78a,0.17019032113587768,-0.15579621832742752,0.09500078103747445,0.17019032113587768,-0.15579621832742752,0.09500078103747445,0.004597997996611075,-0.0029721385549236583,0.004249967823727877,0.004597997996611075,-0.0029721385549236583,0.004249967823727877
