time_s,manifest_id,V_cl,comparison_envelope
0.33,9e81ce3e9621f78a,0.590499298860824,1.69705984165313
0.335,9e81ce3e9621f78a,0.610312004700891,1.72120527487097
0.34,9e81ce3e9621f78a,0.630201387859273,1.74533863838987
0.345,9e81ce3e9621f78a,0.65010562848518,1.76945993824319
0.35,9e81ce3e9621f78a,0.669954763431152,1.79356918046124
0.355,9e81ce3e9621f78a,0.689670269718646,1.81766637107133
0.36,9e81ce3e9621f78a,0.709164753569139,1.84175151609776
0.365,9e81ce3e9621f78a,0.72834177604233,1.86582462156182
0.37,9e81ce3e9621f78a,0.747095848547523,1.88988569348179
0.375,9e81ce3e9621f78a,0.765312632702464,1.91393473787293
0.38,9e81ce3e9621f78a,0.782869378837018,1.9379717607475
0.385,9e81ce3e9621f78a,0.799635635492512,1.96199676811476
0.39,9e81ce3e9621f78a,0.815474258184244,1.98600976598097
0.395,9e81ce3e9621f78a,0.830242739160589,2.01001076034937
0.4,9e81ce3e9621f78a,0.843794870696496,2.03399975722021
0.405,9e81ce3e9621f78a,0.855982742545183,2.05797676259073
0.41,9e81ce3e9621f78a,0.866659059690315,2.0819417824552
0.415,9e81ce3e9621f78a,0.875679749896295,2.10589482280486
0.42,9e81ce3e9621f78a,0.88290681243483,2.12983588962798
0.425,9e81ce3e9621f78a,0.888211340750672,2.15376498890982
0.43,9e81ce3e9621f78a,0.891476633959637,2.17768212663267
0.435,9e81ce3e9621f78a,0.892601296385044,2.20158730877579
0.44,9e81ce3e9621f78a,0.891502212359768,2.22548054131549
0.445,9e81ce3e9621f78a,0.888117276718335,2.24936183022508
0.45,9e81ce3e9621f78a,0.882407761020531,2.27323118147488
0.455,9e81ce3e9621f78a,0.874360202429795,2.29708860103222
0.46,9e81ce3e9621f78a,0.863987716610276,2.32093409486147
0.465,9e81ce3e9621f78a,0.851330657640521,2.34476766892399
0.47,9e81ce3e9621f78a,0.836456575708306,2.36858932917818
0.475,9e81ce3e9621f78a,0.819459455539107,2.39239908157945
0.48,9e81ce3e9621f78a,0.800458252894573,2.41619693208025
0.485,9e81ce3e9621f78a,0.779594780527425,2.43998288663003
0.49,9e81ce3e9621f78a,0.757031026122358,2.46375695117528
0.495,9e81ce3e9621f78a,0.732946010650207,2.48751913165953
0.5,9e81ce3e9621f78a,0.707532314360466,2.51126943402331
0.505,9e81ce3e9621f78a,0.680992408157074,2.5350078642042
0.51,9e81ce3e9621f78a,0.653534929945143,2.55873442813681
0.515,9e81ce3e9621f78a,0.625371039084258,2.58244913175278
0.52,9e81ce3e9621f78a,0.596710968412405,2.60615198098079
0.525,9e81ce3e9621f78a,0.567760874012992,2.62984298174655
0.53,9e81ce3e9621f78a,0.538720059901101,2.6535221399728
0.535,9e81ce3e9621f78a,0.509778630106554,2.67718946157935
0.54,9e81ce3e9621f78a,0.481115596119383,2.70084495248301
0.545,9e81ce3e9621f78a,0.452897444944988,2.72448861859766
0.55,9e81ce3e9621f78a,0.425277153313386,2.74812046583422
0.555,9e81ce3e9621f78a,0.398393617686993,2.77174050010065
0.56,9e81ce3e9621f78a,0.372371457975842,2.79534872730196
0.565,9e81ce3e9621f78a,0.347321145282712,2.81894515334022
0.57,9e81ce3e9621f78a,0.32333940024962,2.8425297841145
