time_s,manifest_id,sigma_V_DG1,sigma_V_DG2,sigma_V_DG3,sigma_omega_DG1,sigma_omega_DG2,sigma_omega_DG3,zeta_V_DG1,zeta_V_DG2,zeta_V_DG3,zeta_omega_DG1,zeta_omega_DG2,zeta_omega_DG3,boundary_margin,local_comparison,comparison_envelope
0.21,9e81ce3e9621f78a,-0.178065217801719,0.196005857610005,-0.103719654952646,0.0640407899227818,0.000939769497430967,0.0117696109872275,-0.179983837160612,0.198575424298984,-0.104094004862258,0.0641285545048455,0.000939769774088824,0.011770154489256,0.130543913199858,0.207761579808273,1.1139327949807
0.215,9e81ce3e9621f78a,-0.190838103300856,0.207443576403702,-0.110618551648257,0.0622474491246924,0.00257902039933196,0.0109424465102082,-0.193206805066231,0.210498478317493,-0.111073086793439,0.0623280342183082,0.00257902611734064,0.0109428832806545,0.129419096013372,0.219301314527305,1.13836971884314
0.22,9e81ce3e9621f78a,-0.203576914491522,0.218829279777875,-0.117499832324329,0.0605008605335685,0.00417499675847052,0.0101400741081729,-0.206461302545434,0.222426176242434,-0.118045098817087,0.0605748412705615,0.00417502101628751,0.0101404216674829,0.128301060626887,0.231240571519762,1.16279442729775
0.225,9e81ce3e9621f78a,-0.216270124971196,0.23015201642891,-0.124357255965923,0.0587999552626521,0.0057285304218906,0.00936187692901996,-0.219739883139483,0.234349979949488,-0.125004321015364,0.0588678618573083,0.00572859308572529,0.00936215044982568,0.127190963238272,0.243578699002173,1.18720692645072
0.23,9e81ce3e9621f78a,-0.22890638900276,0.241401022407457,-0.131184686165941,0.0571436880576137,0.00724044005407474,0.0086072537975224,-0.233035078501383,0.246261298036641,-0.131945090958348,0.0572060092257478,0.00724056658226394,0.00860746636258135,0.12608993945238,0.256315204699031,1.21160722240517
0.235,9e81ce3e9621f78a,-0.241474533203703,0.252565714317124,-0.137976088872797,0.0555310368064059,0.00871153123587513,0.00787561883961176,-0.246339359189296,0.258151454416473,-0.138861796762273,0.0555882229301228,0.00871175162086692,0.00787578167506813,0.124999104708381,0.269449712448716,1.23599532126117
0.24,9e81ce3e9621f78a,-0.253963548011506,0.263635682422976,-0.144725530176947,0.0539610020566425,0.0101425965688448,0.00716640111444945,-0.259645094966828,0.270011657132102,-0.145748870429218,0.0540134681133692,0.0101429443876082,0.00716652380057907,0.123919554714863,0.282981901111273,1.26037122911574
0.245,9e81ce3e9621f78a,-0.266362578933241,0.274600683684548,-0.15142717413775,0.0524326065405229,0.0115344157845412,0.00647904425424198,-0.272944514571188,0.28183296745816,-0.15260078148879,0.0524807348135452,0.0115349273488333,0.00647913491566324,0.122852365891354,0.296911424127521,1.28473495206287
0.25,9e81ce3e9621f78a,-0.278660917590404,0.285450634730788,-0.158075280652704,0.0509448947073132,0.0128877558583971,0.00581300611174836,-0.286229664920267,0.293606269362976,-0.159412030962414,0.0509890372938064,0.0128884694568989,0.00581307158891668,0.121798595814645,0.311237807949649,1.30908649619348
0.255,9e81ce3e9621f78a,-0.290847992573169,0.296175604797353,-0.164664203371658,0.0494969322633807,0.0142033711277808,0.00516775841541954,-0.299492369743392,0.305322239425816,-0.16617714567096,0.049537413394766,0.0142043263526542,0.00516780441907189,0.120759283667952,0.325960327442405,1.33342586759546
