time_s,manifest_id,active_power_W_DG1,active_power_W_DG2,active_power_W_DG3,active_power_W_DG4,normalized_power_DG1,normalized_power_DG2,normalized_power_DG3,normalized_power_DG4,sharing_error
10.545,f27c2278f5bdb77b,256.438773259745,303.285961339799,322.131783022747,343.143482377708,0.512877546519491,0.505476602232999,0.495587358496534,0.490204974825297,0.0226725716941934
10.55,f27c2278f5bdb77b,256.438781100292,303.286058746725,322.13167094679,343.143489206193,0.512877562200583,0.505476764577875,0.495587186071985,0.490204984580276,0.0226725776203074
10.555,f27c2278f5bdb77b,256.438788697246,303.286156823996,322.131558359855,343.143496118903,0.512877577394492,0.505476928039993,0.495587012861315,0.490204994455576,0.0226725829389154
10.56,f27c2278f5bdb77b,256.438796052695,303.286255572178,322.131445261391,343.143503113736,0.51287759210539,0.505477092620297,0.495586838863678,0.490205004448194,0.0226725876571959
10.565,f27c2278f5bdb77b,256.438803168491,303.286354991707,322.131331650959,343.143510188843,0.512877606336981,0.505477258319512,0.495586664078399,0.49020501455549,0.0226725917814916
10.57,f27c2278f5bdb77b,256.438810046202,303.286455082869,322.131217528253,343.143517342676,0.512877620092405,0.505477425138116,0.495586488505004,0.490205024775251,0.0226725953171536
10.575,f27c2278f5bdb77b,256.438816687082,303.286555845782,322.13110289311,343.143524574027,0.512877633374163,0.505477593076303,0.495586312143246,0.490205035105752,0.0226725982684111
10.58,f27c2278f5bdb77b,256.438823092033,303.286657280377,322.130987745532,343.143531882058,0.512877646184065,0.505477762133962,0.495586134993126,0.490205045545797,0.022672600638268
10.585,f27c2278f5bdb77b,256.438829261591,303.286759386397,322.130872085686,343.143539266326,0.512877658523182,0.505477932310662,0.495585957054902,0.490205056094751,0.0226726024284317
10.59,f27c2278f5bdb77b,256.438835195914,303.286862163383,322.130755913916,343.143546726787,0.512877670391827,0.505478103605638,0.495585778329101,0.490205066752554,0.0226726036392739
10.595,f27c2278f5bdb77b,256.438840894776,303.286965610679,322.130639230737,343.143554263808,0.512877681789552,0.505478276017798,0.495585598816519,0.490205077519725,0.0226726042698265
10.6,f27c2278f5bdb77b,256.438846357581,303.287069727435,322.130522036838,343.143561878146,0.512877692715162,0.505478449545726,0.495585418518212,0.490205088397351,0.0226726043178108
