time_s,manifest_id,qV_difference_DG1,qV_difference_DG2,qV_difference_DG3,qV_difference_DG4,qomega_difference_DG1,qomega_difference_DG2,qomega_difference_DG3,qomega_difference_DG4,protected_command_difference,protected_voltage_state_difference,forced_weight_difference_norm,strict_construction_margin
0.44,f27c2278f5bdb77b,1.07898692801658e-10,2.76003568958072e-12,2.78210766056775e-12,4.40325640532757e-12,-4.20809242486497e-12,-3.4658787612888e-12,-1.98897929376551e-12,-4.0611724053119e-12,9.57086586633044e-11,2.32258656751583e-13,0.19543079579684,6.13672164093918e-09
0.445,f27c2278f5bdb77b,1.06682196496927e-10,3.89932834285456e-12,3.52461332689402e-12,5.54670719077333e-12,-4.96858240314757e-12,-4.16604356806398e-12,-2.44231913339166e-12,-4.87724314060523e-12,9.00161483980561e-11,3.04867242562068e-13,0.216345409307028,5.22795272253195e-09
0.45,f27c2278f5bdb77b,1.04894105771094e-10,4.88923268190944e-12,4.15748728846421e-12,6.51875515372824e-12,-5.31697906189232e-12,-4.4938060976378e-12,-2.73328538621942e-12,-5.27058420778798e-12,8.41634707890102e-11,3.69482222595252e-13,0.238143485294239,4.45385299680575e-09
0.455,f27c2278f5bdb77b,1.02581064736346e-10,5.72574409760107e-12,4.68034638823056e-12,7.31480999903444e-12,-4.88540132827231e-12,-4.12097377164473e-12,-2.66168445790804e-12,-4.85700488075252e-12,7.81900122990078e-11,4.26103596851135e-13,0.260539865727797,3.79495748205078e-09
0.46,f27c2278f5bdb77b,9.97953145901592e-11,6.41007798056481e-12,5.09418418906393e-12,7.93714139551982e-12,-3.41707966176191e-12,-2.82128644448279e-12,-2.05676404727018e-12,-3.36565985584875e-12,7.21420805038786e-11,4.74953409934642e-13,0.283177989519831,3.23462267409237e-09
0.465,f27c2278f5bdb77b,9.65836703149814e-11,6.94152200997333e-12,5.40202561502556e-12,8.38844271822126e-12,-1.0349312552782e-12,-7.09691067848559e-13,-9.21709811339128e-13,-9.19079591078786e-13,6.60836633895392e-11,5.16697795660548e-13,0.305681827607014,2.75831258474048e-09
0.47,f27c2278f5bdb77b,9.29988308584484e-11,7.32639166348137e-12,5.60537857449694e-12,8.67705365024951e-12,1.6153769944946e-12,1.63309161116051e-12,4.62042459414141e-13,1.8152408287446e-12,6.00426997617726e-11,5.51336754028853e-13,0.32743795572729,2.35307738019001e-09
0.475,f27c2278f5bdb77b,8.90897345045411e-11,7.57007130591791e-12,5.71049826349201e-12,8.81093765656149e-12,3.59640605056971e-12,3.371099243938e-12,1.61393874610269e-12,3.86120204819845e-12,5.40751789049679e-11,5.79536418854332e-13,0.347838338806969,2.00747464251848e-09
0.48,f27c2278f5bdb77b,8.49044684385347e-11,7.68265442582794e-12,5.72405534429721e-12,8.80092179689207e-12,4.23336441856409e-12,3.90974828467366e-12,2.12777240488418e-12,4.5086964218545e-12,4.81691414186414e-11,6.0063065632221e-13,0.365716305784871,1.71187545557191e-09
0.485,f27c2278f5bdb77b,8.04897919148839e-11,7.67437415699623e-12,5.65325867715738e-12,8.65759438965774e-12,3.54327353048467e-12,3.27591773152669e-12,1.92727290290046e-12,3.76160403823753e-12,4.24153160510921e-11,6.16173778666962e-13,0.380382225505332,1.45868359226328e-09
0.49,f27c2278f5bdb77b,7.58937008290411e-11,7.55620284224878e-12,5.5068779397649e-12,8.39474973909904e-12,2.15125638657054e-12,2.038621604427e-12,1.27491105780114e-12,2.25381806316996e-12,3.68154557403924e-11,6.25943741283663e-13,0.390379758125377,1.24205656127979e-09
0.495,f27c2278f5bdb77b,7.11610185924819e-11,7.33893664155855e-12,5.29252358084931e-12,8.0245529188519e-12,8.29007001934556e-13,8.96153268779842e-13,5.57219147125781e-13,7.68930166934745e-13,3.13973865352993e-11,6.30384633382164e-13,0.394185674525422,1.05725914378548e-09
0.5,f27c2278f5bdb77b,6.49747166877115e-11,6.01416084902023e-12,4.3014317151549e-12,6.30746030492318e-12,5.5944832100252e-16,4.21875533639093e-14,-3.22298611410421e-14,1.14158845137408e-13,2.48922140495475e-11,6.32160990221564e-13,0.371382285940861,9.00395759307563e-10
