time_s,manifest_id,qV_difference_DG1,qV_difference_DG2,qV_difference_DG3,qV_difference_DG4,qomega_difference_DG1,qomega_difference_DG2,qomega_difference_DG3,qomega_difference_DG4,protected_command_difference,protected_voltage_state_difference,forced_weight_difference_norm,strict_construction_margin
0.15,f27c2278f5bdb77b,-1.54010740618937e-09,1.46214117202614e-12,-9.13808785585335e-12,-1.29538862275735e-11,-9.1014598201794e-14,2.07060524325467e-13,-2.12926464654428e-14,1.94241107573379e-13,-1.76160604159481e-09,1.39970257606592e-11,0.000330434089893972,6.58379768600187e-05
0.155,f27c2278f5bdb77b,-1.55853572582354e-09,1.39683403732604e-12,-8.5627407941935e-12,-1.20840889378249e-11,-4.17618955909915e-14,2.27656977470903e-13,9.27133803757529e-15,2.30735569539675e-13,-1.69867594036061e-09,1.19426690758928e-11,0.000374438688037881,5.61034233420316e-05
0.16,f27c2278f5bdb77b,-1.57491151023259e-09,-5.88581093585727e-12,-1.37810769740287e-11,-1.93337446746655e-11,-6.54898281871735e-13,5.82735682624902e-13,-3.47317227061827e-13,4.5830418453352e-13,-1.61270804089481e-09,9.72533165111145e-12,0.000417966054473418,4.78081838673217e-05
0.165,f27c2278f5bdb77b,-1.5440127718036e-09,1.57111441911884e-11,3.95609760228677e-12,6.46865894182724e-12,-8.36637508404292e-13,5.35013087435074e-13,-4.06624820620261e-13,4.16357920363097e-13,-1.53137951711818e-09,7.93254351094674e-12,0.000466228015330805,4.07394470921638e-05
0.17,f27c2278f5bdb77b,-1.5309964580823e-09,1.60975850704848e-11,4.80055578622185e-12,7.8581915280429e-12,-9.20138314500218e-13,5.09801239851476e-13,-4.6772785297633e-13,3.64807359667929e-13,-1.45648615564042e-09,6.26809715242871e-12,0.000521084888666867,3.47158666904449e-05
0.175,f27c2278f5bdb77b,-1.50858130328058e-09,1.72468948844706e-11,6.17974681843547e-12,1.00420557286318e-11,-3.02173975945397e-13,3.74206416721423e-13,-1.28134373771072e-13,3.39383469244448e-13,-1.40338285155132e-09,4.99977836909693e-12,0.000589653650859057,2.95829104058674e-05
0.18,f27c2278f5bdb77b,-1.47841311588792e-09,1.88361106226442e-11,8.48649362589216e-12,1.28990455469657e-11,-7.61161614423397e-13,5.03951101769179e-13,-4.00757985824507e-13,3.75007100025804e-13,-1.2881984131209e-09,3.373523682626e-12,0.000636655080114457,2.52088932424495e-05
0.185,f27c2278f5bdb77b,-1.4308172459343e-09,2.91911130684275e-11,1.71726053516119e-11,2.56461206438185e-11,-1.02531248465446e-12,3.2548372634264e-13,-5.34234657380284e-13,1.65812459249071e-13,-1.20570644467815e-09,2.11364259428137e-12,0.000700152804748111,2.14816016337084e-05
0.19,f27c2278f5bdb77b,-1.39472601176638e-09,2.59489218307207e-11,1.47798344743433e-11,2.27711287326127e-11,-3.89734631286304e-13,2.92846964126264e-13,-1.85106162169102e-13,2.40723673633481e-13,-1.16415308816509e-09,1.21502807814977e-12,0.000793605932372987,1.83054137021801e-05
0.195,f27c2278f5bdb77b,-1.34273971021809e-09,3.15585535134999e-11,1.9804143568114e-11,3.00751784587661e-11,-2.52302099026415e-13,3.38711155477289e-13,-1.03531874913465e-13,3.11894390522816e-13,-1.08238955645601e-09,2.27373675443232e-13,0.000867070948904036,1.55988447644933e-05
0.2,f27c2278f5bdb77b,-1.2829275671325e-09,4.02935345679423e-11,2.73615036877617e-11,4.0883484098142e-11,-6.85051584144343e-13,1.41885093084271e-13,-3.33467628510498e-13,5.56913456323249e-14,-9.89090330038439e-10,-7.33635374672303e-13,0.00093148886816552,1.3292458395639e-05
0.205,f27c2278f5bdb77b,-1.24682018615846e-09,2.75118313547429e-11,1.74901326061017e-11,2.70603062527131e-11,-2.13746799123185e-13,2.77495366095282e-13,-8.94172973511798e-14,2.5390496996569e-13,-9.4467037361004e-10,-1.46904710618401e-12,0.00104477458725361,1.13270861571654e-05
0.21,f27c2278f5bdb77b,-1.18246585916956e-09,3.49976306615596e-11,2.40733231959833e-11,3.64767569448199e-11,-2.84326158266329e-13,2.97538740607478e-13,-1.35312876355098e-13,2.59120632936649e-13,-8.55759383494581e-10,-2.18625118009186e-12,0.00111285041338904,9.6523061335846e-06
0.215,f27c2278f5bdb77b,-1.13198019707772e-09,3.00680819218663e-11,2.05339740436822e-11,3.14304949254607e-11,-4.68388970661991e-13,1.0035445781667e-13,-2.1435717784124e-13,4.7495427729638e-14,-7.96167572408163e-10,-2.80331313717852e-12,0.0012165430442389,8.22515258448167e-06
0.22,f27c2278f5bdb77b,-1.07785281069396e-09,2.65348428993284e-11,1.82534549541397e-11,2.82173285388529e-11,-2.55060635037386e-13,2.56776858890279e-13,-1.24863986337986e-13,2.20644032558615e-13,-7.29295394040486e-10,-3.35109717752857e-12,0.00131004487008846,7.00901284929139e-06
0.225,f27c2278f5bdb77b,-1.02113645360571e-09,2.43620430903299e-11,1.69759986233184e-11,2.64485554225986e-11,-5.12473415347761e-14,4.03316648741464e-13,-2.08631939849213e-14,3.88507368637159e-13,-6.6562805484463e-10,-3.80828701906921e-12,0.00140563496087021,5.97268699295897e-06
0.23,f27c2278f5bdb77b,-9.58703944492012e-10,2.64610909681169e-11,1.91156843500941e-11,2.9386139246794e-11,-4.6684268660579e-13,9.03734552470947e-14,-2.28729253419491e-13,3.08492380945991e-14,-5.97718949422316e-10,-4.17088585891179e-12,0.00148450916029796,5.08958781583312e-06
0.235,f27c2278f5bdb77b,-9.05155204261598e-10,2.12873361651747e-11,1.5465073639016e-11,2.40619300200841e-11,-4.42340229115518e-13,9.23153155481249e-14,-2.17528686036195e-13,3.4627682665711e-14,-5.41161430337583e-10,-4.50017800801561e-12,0.00158066200820528,4.3370606537807e-06
0.24,f27c2278f5bdb77b,-8.5622180775579e-10,1.24740450174049e-11,8.92822800283369e-12,1.46906783612955e-11,8.67819542355736e-14,5.04058979885341e-13,3.63283621934718e-14,4.9687988099012e-13,-4.89214691326567e-10,-4.82658357725541e-12,0.00168095960801751,3.69579977705313e-06
