time_s,manifest_id,dqV_DG1,dqV_DG2,dqV_DG3,dqW_DG1,dqW_DG2,dqW_DG3,dcV_DG1,dcV_DG2,dcV_DG3,dcW_DG1,dcW_DG2,dcW_DG3
0.085,9e81ce3e9621f78a,0.0014312116409732345,3.6383271492301805e-05,-3.2206737277107322e-12,-7.951909368371368e-07,8.945892987378273e-07,4.990686683359336e-13,0.0005261453036249086,1.3876658013334264e-05,-1.800524521144986e-09,-3.1589708430253965e-07,3.553056243197489e-07,1.4210644163140107e-11
0.09,9e81ce3e9621f78a,0.0014149581758037821,3.597515049455491e-05,-2.532551945932937e-11,-7.864009864619326e-07,8.846997576368587e-07,6.481499364996424e-13,0.0004923603340908217,1.3031318824130445e-05,-2.6958330706650102e-09,-2.984031496639644e-07,3.356101342839868e-07,1.7371436103821858e-11
0.095,9e81ce3e9621f78a,0.0013986092091926305,3.5564536204263364e-05,-5.703902627995916e-11,-7.775650991345695e-07,8.747584080391613e-07,8.285212793612828e-13,0.00045816349113567134,1.215009806870837e-05,-3.806651244220305e-09,-2.802790198576377e-07,3.152067690670099e-07,2.0965417336232806e-11
0.1,9e81ce3e9621f78a,0.0013821626857861424,3.5151113123077504e-05,-1.0048320508992958e-10,-7.686779015525502e-07,8.647592204483884e-07,1.0441109782322044e-12,0.0004236745895680044,1.1233693114426346e-05,-5.158417047679276e-09,-2.615642642643176e-07,2.941405824984089e-07,2.5011267579602703e-11
0.105,9e81ce3e9621f78a,0.0013656176815994847,3.47345770703722e-05,-1.5800402652921264e-10,-7.597344881052348e-07,8.546966966446051e-07,1.2989583367262192e-12,0.0003889956857837662,1.0282740637246324e-05,-6.777192376739016e-09,-2.4229744478854176e-07,2.724554965536155e-07,2.952399522776483e-11
0.11,9e81ce3e9621f78a,0.0013489742117142045,3.431463440389804e-05,-2.3217397449037946e-10,-7.50730404085187e-07,8.445658507081483e-07,1.5971703126727022e-12,0.0003542112642171691,9.297814594855236e-06,-8.689571756592684e-09,-2.2251614633511663e-07,2.501943310861954e-07,3.451459365706733e-11
0.115,9e81ce3e9621f78a,0.0013322330433897522,3.3891001221447725e-05,-3.2579364206419825e-10,-7.416616294095291e-07,8.343621905864546e-07,1.942880752114906e-12,0.00031938855818185174,8.279422054571772e-06,-1.0922630307164116e-08,-2.0225700475811487e-07,2.273988312781125e-07,3.9989705123699704e-11
0.12,9e81ce3e9621f78a,0.0013153955156586794,3.346340252266544e-05,-4.418927029847808e-10,-7.325245628513055e-07,8.240817001951839e-07,2.340207021223062e-12,0.0002845779689281541,7.227996971101436e-06,-1.3503849538576418e-08,-1.8155573248100632e-07,2.0410969307944893e-07,4.595134450897931e-11
0.125,9e81ce3e9621f78a,0.0012984633661224931,3.3031571311653574e-05,-5.837304112299435e-10,-7.233160067600386e-07,8.137208220414943e-07,2.7931962298666235e-12,0.0002498135513135241,6.1438920102019345e-06,-1.6461079076213192e-08,-1.6044714205680488e-07,1.8036658689345175e-07,5.2396637809787316e-11
0.13,9e81ce3e9621f78a,0.0012814385653638904,3.259524762264099e-05,-7.547953789766026e-10,-7.140331522367815e-07,8.032764403399784e-07,3.3057888024212723e-12,0.00021511353897414598,5.027368500887253e-06,-1.9822476028663605e-08,-1.3896516816609694e-07,1.5620817980961654e-07,5.931760009396381e-11
0.135,9e81ce3e9621f78a,0.0012643231591373816,3.2154177451254595e-05,-9.588052712894424e-10,-7.046735647289748e-07,7.927458645657498e-07,3.881755160362044e-12,0.00018048088634325943,3.878584609026681e-06,-2.3616470817139357e-08,-1.1714288808330892e-07,1.3167215666062826e-07,6.670094121127845e-11
0.14,9e81ce3e9621f78a,0.001247119118294615,3.1708111575962095e-05,-1.1997057375312536e-09,-6.952351700659221e-07,7.821268134897835e-07,4.52465148681469e-12,0.00014590380892702537,2.6975818277347186e-06,-2.7871733237344598e-08,-9.501254099545525e-08,1.0679523998642637e-07,7.452790619887073e-11
0.145,9e81ce3e9621f78a,0.00122982819623485,3.125680425503097e-05,-1.481669273384334e-09,-6.857162408290679e-07,7.714173996201806e-07,5.237769419574878e-12,0.00011135630719007888,1.4842698601302828e-06,-3.261714729210774e-08,-7.260554632949195e-08,8.161320929830906e-08,8.277415623585138e-11
0.15,9e81ce3e9621f78a,0.00121245179354873,3.080001178498715e-05,-1.809094013482948e-09,-6.761153831750383e-07,7.606161140719103e-07,6.024080539956955e-12,7.6798662795554e-05,2.3840998181895445e-07,-3.788178724525859e-08,-4.995252135021888e-08,5.616091969598558e-08,9.140966087360647e-11
0.155,9e81ce3e9621f78a,0.0011949908294296152,3.033749090847193e-05,-2.1866020383232154e-09,-6.664315239744006e-07,7.497218118632937e-07,6.886183463727935e-12,4.2177899108278294e-05,-1.0404030150873433e-06,-4.369491620956345e-08,-2.7083298195264283e-08,3.047232012727552e-08,1.0039863493523093e-10
0.16,9e81ce3e9621f78a,0.0011774456193692773,2.9868997059534497e-05,-2.6190379864843294e-09,-6.566638983372675e-07,7.3873369757331e-07,7.826257003573645e-12,7.4282005777526194e-06,-2.352760258450548e-06,-5.008597504102541e-08,-4.026940426081482e-09,4.580471345966286e-09,1.0969949818320779e-10
0.165,9e81ce3e9621f78a,0.001159815758619176,2.9394282436090435e-05,-3.111467486438535e-09,-6.468120374684971e-07,7.276513114187061e-07,8.846006392670969e-12,-2.7528711908746117e-05,-3.6994594445130535e-06,-5.7084590436573546e-08,1.91882405329441e-08,-2.148243615635037e-08,1.192648670794716e-10
0.17,9e81ce3e9621f78a,0.0011421000108891854,2.8913093890026165e-05,-3.669175768772348e-09,-6.368757568785133e-07,7.164745157110103e-07,9.946609508260096e-12,-6.278325055077832e-05,-5.081526673195169e-06,-6.472058640058509e-08,4.253466912278875e-08,-4.768506420803342e-08,1.2904156270008432e-10
0.17500000000000002,9e81ce3e9621f78a,0.001124296201763575,2.842517062706662e-05,-4.297666472696804e-09,-6.26855144932395e-07,7.05203481689981e-07,1.112867263619588e-11,-9.843767395458641e-05,-6.500239296644561e-06,-7.302400692119071e-08,6.598548935032866e-08,-7.399690879397042e-08,1.3897064120131641e-10
0.18,9e81ce3e9621f78a,0.0011064011163425258,2.7930241709078762e-05,-5.002660688480098e-09,-6.167505517250954e-07,6.938386767369603e-07,1.2392177561881823e-11,-0.0001346058415268997,-7.957149700671406e-06,-8.202513816085721e-08,8.951454826943567e-08,-1.0038828158684399e-07,1.489874670032934e-10
0.185,9e81ce3e9621f78a,0.0010884104006573525,2.7428023353925912e-05,-5.7900962774359854e-09,-6.06562578281053e-07,6.823808519594576e-07,1.3736437334821439e-11,-0.0001714130046947468,-9.454109834924895e-06,-9.175455075241534e-08,1.1309637920706855e-07,-1.2683029107507515e-07,1.590217716621739e-10
0.19,9e81ce3e9621f78a,0.0010703184664658527,2.691821602873734e-05,-6.666127760901475e-09,-5.96292066107687e-07,6.708310301608428e-07,1.516005290053135e-11,-0.00020899562929497378,-1.0993296331210378e-05,-1.0224313928483553e-07,1.3670618467364476e-07,-1.5329482313565512e-07,1.6899776792821813e-10
0.195,9e81ce3e9621f78a,0.0010521183991014094,2.6400501335371862e-05,-7.637126431259134e-09,-5.85940087049e-07,6.591904941725957e-07,1.6660861926198756e-11,-0.0002475012420833089,-1.2577235989408297e-05,-1.1352217566679146e-07,1.6031981863329908e-07,-1.7975452094604744e-07,1.7883425794916474e-10
0.2,9e81ce3e9621f78a,0.0010338018685152883,2.5874538305881156e-05,-8.709481566504529e-09,-5.755079291978882e-07,6.474607712348562e-07,1.823802480566128e-11,-0.00028708829389413604,-1.4208830704132147e-05,-1.2562377887936904e-07,1.8391377018794203e-07,-2.0618276434444804e-07,1.8844630153211361e-10
