time_s,manifest_id,pV_nom_DG1,pV_nom_DG2,pV_nom_DG3,pV_nom_DG4,pV_alt_DG1,pV_alt_DG2,pV_alt_DG3,pV_alt_DG4,pomega_nom_DG1,pomega_nom_DG2,pomega_nom_DG3,pomega_nom_DG4,pomega_alt_DG1,pomega_alt_DG2,pomega_alt_DG3,pomega_alt_DG4,public_difference_l2
0.18,f27c2278f5bdb77b,-0.00831434628922118,-0.00720113984613593,-0.00591247650382933,-0.00775986270311709,-0.00831434628922118,-0.00720113984613593,-0.00591247650382933,-0.00775986270311709,-0.000100105006760219,0.00026432087710203,0.000779090084702289,0.00107843400631397,-0.000100105006760219,0.00026432087710203,0.000779090084702289,0.00107843400631397,0
0.185,f27c2278f5bdb77b,-0.00712611368070548,-0.00624068146243026,-0.00515174152776974,-0.00667308498919772,-0.00712611368070548,-0.00624068146243026,-0.00515174152776974,-0.00667308498919772,-8.39083890968578e-05,0.0002889032178863,0.000785771177836438,0.00110152429616041,-8.39083890968578e-05,0.0002889032178863,0.000785771177836438,0.00110152429616041,0
0.19,f27c2278f5bdb77b,-0.00599160139835263,-0.00532139709521035,-0.00442396366950791,-0.00563511886802322,-0.00599160139835263,-0.00532139709521035,-0.00442396366950791,-0.00563511886802322,-6.80269079063059e-05,0.000311991832879427,0.000792492655301787,0.00112330532759854,-6.80269079063059e-05,0.000311991832879427,0.000792492655301787,0.00112330532759854,0
0.195,f27c2278f5bdb77b,-0.00492345027139884,-0.00445353830409352,-0.00373723264080342,-0.0046574491957406,-0.00492345027139884,-0.00445353830409352,-0.00373723264080342,-0.0046574491957406,-5.26159053733937e-05,0.000333612472876197,0.000799156189882354,0.00114376466862132,-5.26159053733937e-05,0.000333612472876197,0.000799156189882354,0.00114376466862132,0
0.2,f27c2278f5bdb77b,-0.00393173408902531,-0.00364533796522392,-0.00309801053781367,-0.00374925054167261,-0.00393173408902531,-0.00364533796522392,-0.00309801053781367,-0.00374925054167261,-3.78137103061851e-05,0.000353782908447607,0.000805674543539092,0.00116288667098567,-3.78137103061851e-05,0.000353782908447607,0.000805674543539092,0.00116288667098567,0
0.205,f27c2278f5bdb77b,-0.00302407755682375,-0.00290309588654799,-0.00251120936441781,-0.0029174880228605,-0.00302407755682375,-0.00290309588654799,-0.00251120936441781,-0.0029174880228605,-2.37435486562038e-05,0.000372514467683596,0.000811970276379762,0.00118065343144725,-2.37435486562038e-05,0.000372514467683596,0.000811970276379762,0.00118065343144725,0
0.21,f27c2278f5bdb77b,-0.00220580339982528,-0.00223128857454789,-0.0019802863773497,-0.00216704550397286,-0.00220580339982528,-0.00223128857454789,-0.0019802863773497,-0.00216704550397286,-1.05151813528467e-05,0.000389813363169214,0.000817974632722045,0.0011970456175325,-1.05151813528467e-05,0.000389813363169214,0.000817974632722045,0.0011970456175325,0
0.215,f27c2278f5bdb77b,-0.00148010247080924,-0.00163269822616512,-0.00150735335743377,-0.00150087553606584,-0.00148010247080924,-0.00163269822616512,-0.00150735335743377,-0.00150087553606584,1.7736904154302e-06,0.000405681832205261,0.000823626579188143,0.00121204317218447,1.7736904154302e-06,0.000405681832205261,0.000823626579188143,0.00121204317218447,0
0.22,f27c2278f5bdb77b,-0.000848221576075731,-0.00110855666798844,-0.00109329648339584,-0.000920166156941403,-0.000848221576075731,-0.00110855666798844,-0.00109329648339584,-0.000920166156941403,1.30362204483445e-05,0.000420119123180461,0.000828871974295091,0.00122562592121488,1.30362204483445e-05,0.000420119123180461,0.000828871974295091,0.00122562592121488,0
0.225,f27c2278f5bdb77b,-0.000309663362613944,-0.000658699709897104,-0.000737903260444406,-0.000424519366798146,-0.000309663362613944,-0.000658699709897104,-0.000737903260444406,-0.000424519366798146,2.31953843816686e-05,0.000433122344328331,0.000833662851380757,0.0012377740927862,2.31953843816686e-05,0.000433122344328331,0.000833662851380757,0.0012377740927862,0
0.23,f27c2278f5bdb77b,0.000137606251364621,-0.000281728258633331,-0.000439993696996724,-1.21371058755544e-05,0.000137606251364621,-0.000281728258633331,-0.000439993696996724,-1.21371058755544e-05,3.2183095178634e-05,0.000444687198910664,0.0008379567999044,0.00124846876624666,3.2183095178634e-05,0.000444687198910664,0.0008379567999044,0.00124846876624666,0
0.235,f27c2278f5bdb77b,0.000496947902038692,2.48276656503474e-05,-0.000197552753268482,0.000319989681033061,0.000496947902038692,2.48276656503474e-05,-0.000197552753268482,0.000319989681033061,3.99394445765045e-05,0.000454808618743533,0.000841716430782039,0.0012576922567018,3.99394445765045e-05,0.000454808618743533,0.000841716430782039,0.0012576922567018,0
0.24,f27c2278f5bdb77b,0.000772839567878808,0.000264345012737431,-7.86178651839039e-06,0.000575892325359375,0.000772839567878808,0.000264345012737431,-7.86178651839039e-06,0.000575892325359375,4.64120554268026e-05,0.000463481314549768,0.000844908915714428,0.00126542844901101,4.64120554268026e-05,0.000463481314549768,0.000844908915714428,0.00126542844901101,0
0.245,f27c2278f5bdb77b,0.000970671972640819,0.000440946835637942,0.00013237324416708,0.00076043943712257,0.000970671972640819,0.000440946835637942,0.00013237324416708,0.00076043943712257,5.15555276859521e-05,0.000470700252543898,0.000847505589468368,0.00127166308625646,5.15555276859521e-05,0.000470700252543898,0.000847505589468368,0.00127166308625646,0
0.25,f27c2278f5bdb77b,0.00109655166221148,0.000559346956633476,0.000226898671294106,0.000879158467866244,0.00109655166221148,0.000559346956633476,0.000226898671294106,0.000879158467866244,5.53309657020922e-05,0.000476461068403889,0.000849481606977698,0.00127638402025074,5.53309657020922e-05,0.000476461068403889,0.000849481606977698,0.00127638402025074,0
0.255,f27c2278f5bdb77b,0.00115711411674119,0.000624702094619054,0.00027979652994611,0.00093806603748977,0.00115711411674119,0.000624702094619054,0.00027979652994611,0.00093806603748977,5.77055775483324e-05,0.000480760429914265,0.00085081564895949,0.00127958143228016,5.77055775483324e-05,0.000480760429914265,0.00085081564895949,0.00127958143228016,0
0.26,f27c2278f5bdb77b,0.00115934920207075,0.000642473333860124,0.000295375868344945,0.000943509172997627,0.00115934920207075,0.000642473333860124,0.000295375868344945,0.000943509172997627,5.86523336652351e-05,0.000483596352564722,0.000851489667933578,0.00128124802538865,5.86523336652351e-05,0.000483596352564722,0.000851489667933578,0.00128124802538865,0
0.265,f27c2278f5bdb77b,0.00111044039259822,0.000618298124376869,0.000278072796120118,0.000902018813844194,0.00111044039259822,0.000618298124376869,0.000278072796120118,0.000902018813844194,5.81496808879196e-05,0.000484968479082028,0.000851488671594755,0.0012813791971283,5.81496808879196e-05,0.000484968479082028,0.000851488671594755,0.0012813791971283,0
0.27,f27c2278f5bdb77b,0.00101761904246376,0.000557873877395469,0.000232360013862165,0.00082017679313791,0.00101761904246376,0.000557873877395469,0.000232360013862165,0.00082017679313791,5.61813019255563e-05,0.0004848783259462,0.000850800537158985,0.00127997319348972,5.61813019255563e-05,0.0004848783259462,0.000850800537158985,0.00127997319348972,0
0.275,f27c2278f5bdb77b,0.000888034522229152,0.000466853855430542,0.000162666283786107,0.000704497084186331,0.000888034522229152,0.000466853855430542,0.000162666283786107,0.000704497084186331,5.27359167936202e-05,0.000483329503948089,0.000849415854073773,0.00127703124953704,5.27359167936202e-05,0.000483329503948089,0.000849415854073773,0.00127703124953704,0
0.28,f27c2278f5bdb77b,0.000728640556870733,0.000350755670585805,7.33060063396816e-05,0.000561321659229552,0.000728640556870733,0.000350755670585805,7.33060063396816e-05,0.000561321659229552,4.78071204612809e-05,0.000480327916887143,0.000847327791213127,0.0012725577191853,4.78071204612809e-05,0.000480327916887143,0.000847327791213127,0.0012725577191853,0
